# P(GPa) err		a (A^3)	a_err	b	b_err	c	c_err	V (A^3)	V_err
0.01  0.007		4.7783  0.0007	4.9311  0.0003	6.8993  0.0003	162.57  0.02
0.53  0.02		4.7747  0.0006	4.9283  0.0002	6.8942  0.0003	162.23  0.02
1.82  0.01		4.7657  0.0007	4.9202  0.0003	6.8815  0.0003	161.35  0.02
2.81  0.01		4.7588  0.0007	4.9145  0.0002	6.8725  0.0003	160.73  0.02
3.63  0.01		4.7537  0.0005	4.9105  0.0002	6.8646  0.0002	160.24  0.02
3.80  0.01		4.7526  0.0007	4.9098  0.0003	6.8632  0.0003	160.15  0.03
5.02  0.01		4.7450  0.0006	4.9032  0.0002	6.8525  0.0003	159.43  0.02
6.39  0.01		4.7366  0.0006	4.8960  0.0002	6.8407  0.0003	158.64  0.02
7.595  0.004		4.7288  0.0006	4.8900  0.0002	6.8307  0.0003	157.95  0.02
8.44  0.02		4.7240  0.0006	4.8860  0.0002	6.8238  0.0003	157.50  0.02
9.60  0.04		4.7179  0.0006	4.8805  0.0002	6.8142  0.0002	156.90  0.02
10.04  0.01		4.7150  0.0006	4.8786  0.0002	6.8111  0.0003	156.56  0.02
